vendor,source_type,attempted_url,outcome,http_status,usable_as_evidence,page_title,date_collected,readable_blocks,content_sha256,note
GitLab,product,https://about.gitlab.com/,COLLECTED,200,yes,"Finally, AI for the entire software lifecycle.",2026-08-13,19,aaf596aa06648849,
GitLab,pricing,https://about.gitlab.com/pricing/,COLLECTED,200,yes,Pricing,2026-08-13,48,4900ffa88b1cfaaa,
GitLab,security,https://about.gitlab.com/security/,COLLECTED,200,yes,Security,2026-08-13,27,5b7843b3af782cfe,
GitLab,privacy,https://about.gitlab.com/privacy/,COLLECTED,200,yes,GitLab Privacy Statement,2026-08-13,23,546ec4fbc071feab,
GitLab,docs,https://docs.gitlab.com/,COLLECTED,200,yes,GitLab Docs,2026-08-13,20,1c433d6e897c0436,
GitLab,status,https://status.gitlab.com/,COLLECTED,200,yes,GitLab System Status,2026-08-13,8,f5d9cd427ef9ae1f,
GitLab,terms,https://about.gitlab.com/terms,COLLECTED,200,yes,GitLab Terms of Use,2026-08-13,3,dedd54c8fbc37fd7,
Linear,product,https://linear.app/,COLLECTED,200,yes,Linear – The system for product development,2026-08-13,11,788d89ebcaa1de6c,
Linear,pricing,https://linear.app/pricing,COLLECTED,200,yes,Pricing – Linear,2026-08-13,6,20d4b105851bb9a1,
Linear,security,https://linear.app/security,COLLECTED,200,yes,Security – Linear,2026-08-13,23,ae01d33535b2514b,
Linear,privacy,https://linear.app/privacy,COLLECTED,200,yes,Privacy Policy,2026-08-13,30,97943ae22360709f,
Linear,docs,https://linear.app/docs,COLLECTED BUT UNREADABLE,200,no,Linear Docs,2026-08-13,16,f2d316a2720b86ea,"JavaScript-rendered: any missing field from this page is OUR limit, not the vendor's silence"
Linear,status,https://status.linear.app/,COLLECTED,200,yes,Linear Status,2026-08-13,15,b7da543523bd3a94,
Linear,terms,https://linear.app/terms,COLLECTED,200,yes,Terms of Service,2026-08-13,55,f75208de4e303947,
Sentry,product,https://sentry.io/welcome/,COLLECTED,200,yes,Application Performance Monitoring & Error Tracking Software | Sentry,2026-08-13,19,3bfb50b624046100,
Sentry,pricing,https://sentry.io/pricing/,COLLECTED,200,yes,"Pricing: Free Developer Plan, Pay as You Grow | Sentry",2026-08-13,78,c4c42d24a94ac612,
Sentry,security,https://sentry.io/security/,COLLECTED,200,yes,"Security, Privacy, and Compliance Practices | Sentry",2026-08-13,41,b190278e13cd0c61,
Sentry,privacy,https://sentry.io/privacy/,COLLECTED,200,yes,"Privacy Policy 3.3.2 (October 29, 2025) | Sentry",2026-08-13,16,ec4678840bfa42d2,
Sentry,docs,https://docs.sentry.io/,COLLECTED,200,yes,Sentry Docs | Application Performance Monitoring & Error Tracking Software,2026-08-13,4,dd0ef8659e16e7da,
Sentry,status,https://status.sentry.io/,COLLECTED,200,yes,Sentry Status,2026-08-13,19,df5926eb9279a953,
Sentry,terms,https://sentry.io/terms,COLLECTED,200,yes,"Terms of Service 3.0.0 (February 12, 2024) | Sentry",2026-08-13,1,75184f5397eb2199,
